Report Written :   Friday, April 03, 2015  14:25
Project Path   :   Z:\home\pete\Projects\JunkBoxMsf\Schematics\JunkBoxMsf.prj
Design Path    :   Z:\home\pete\Projects\JunkBoxMsf\Schematics\2-Mcu-Lcd.sch
Design Title   :
Created        :
Last Saved     :   03/04/2015 14:25:28
Editing Time   :   546 min
Units          :   thou (precision 2)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"REF23","1","+V","","","","","","","Power"
"REF32","1","+V","","","","","","","Power"
"REF18","1","+V","","","","","","","Power"
"REF60","1","+V","","","","","","","Power"
"REF57","1","+V","","","","","","","Power"
"REF36","1","+V","","","","","","","Power"
"REF38","1","+V","","","","","","","Power"
"REF9","1","+V","","","","","","","Power"
"REF29","1","+V","","","","","","","Power"
"REF51","1","+V","","","","","","","Power"
"REF45","1","+V","","","","","","","Power"
"REF10","1","+V","","","","","","","Power"
"REF46","1","+V","","","","","","","Power"
"REF26","1","+V","","","","","","","Power"
"REF17","1","+V","","","","","","","Power"
"REF27","1","+V","","","","","","","Power"
"REF40","1","+V","","","","","","","Power"
"REF15","1","+V","","","","","","","Power"
"Q201","1","BS170","","TO92","","","","","N-Channel Logic Level MOSFET"
"Q202","1","BS170","","TO92","","","","","N-Channel Logic Level MOSFET"
"C112","1","C-GENERIC","1nF","TH-CD-3","","","","","Capacitor"
"C117","1","C-GENERIC","1nF","TH-CD-3","","","","","Capacitor"
"C115","1","C-GENERIC","1nF","TH-CD-3","","","","","Capacitor"
"C120","1","C-GENERIC","1nF","TH-CD-3","","","","","Capacitor"
"C104","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C107","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C208","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C113","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C110","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C111","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C204","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C116","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C211","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C205","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C210","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C202","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C114","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C203","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C109","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C201","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C108","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C118","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C119","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C105","1","C-GENERIC","1uF","0805","","","","","Capacitor"
"C121","1","C-GENERIC","2.2nF","TH-CD-3","","","","","Capacitor"
"C215","1","C-GENERIC","18pF","TH-CD-2","","","","","Capacitor"
"C214","1","C-GENERIC","18pF","TH-CD-2","","","","","Capacitor"
"C213","1","C-GENERIC","22pF","TH-CD-2","","","","","Capacitor"
"C212","1","C-GENERIC","22pF","TH-CD-2","","","","","Capacitor"
"C206","1","C-GENERIC","47pF","TH-CD-2","","","","","Capacitor"
"C207","1","C-GENERIC","47pF","TH-CD-2","","","","","Capacitor"
"C209","1","C-GENERIC","100nF","TH-CD-3","","","","","Capacitor"
"C102","1","C-GENERIC","100nF","TH-CD-3","","08-0235","","","Capacitor"
"C106","1","C-GENERIC-POLARISED","10uF","TH-CP-2-2_5","","","","","Capacitor (Polarised)"
"C103","1","C-GENERIC-POLARISED","10uF","TH-CP-2-2_5","","","","","Capacitor (Polarised)"
"C101","1","C-GENERIC-POLARISED","100uF","TH-CP-2-3","","","","","Capacitor (Polarised)"
"X201","1","Crystal","7.3728MHz","TH-HC18U","","","","","Discrete Crystal"
"X202","1","Crystal","32.768kHz","TH-SMALL","","","","","Discrete Crystal"
"D101","1","D-GENERIC","1N5817","TH-4","","","","","Diode"
"D102","1","D-GENERIC","1N5817","TH-4","","","","","Diode"
"D103","1","D-GENERIC","1N5817","TH-4","","","","","Diode"
"REF41","1","GND-0V","","","","","","","Power"
"REF31","1","GND-0V","","","","","","","Power"
"REF25","1","GND-0V","","","","","","","Power"
"REF14","1","GND-0V","","","","","","","Power"
"REF42","1","GND-0V","","","","","","","Power"
"REF30","1","GND-0V","","","","","","","Power"
"REF22","1","GND-0V","","","","","","","Power"
"REF43","1","GND-0V","","","","","","","Power"
"REF33","1","GND-0V","","","","","","","Power"
"REF20","1","GND-0V","","","","","","","Power"
"REF19","1","GND-0V","","","","","","","Power"
"REF1","1","GND-0V","","","","","","","Power"
"REF62","1","GND-0V","","","","","","","Power"
"REF35","1","GND-0V","","","","","","","Power"
"REF21","1","GND-0V","","","","","","","Power"
"REF2","1","GND-0V","","","","","","","Power"
"REF63","1","GND-0V","","","","","","","Power"
"REF59","1","GND-0V","","","","","","","Power"
"REF34","1","GND-0V","","","","","","","Power"
"REF3","1","GND-0V","","","","","","","Power"
"REF58","1","GND-0V","","","","","","","Power"
"REF37","1","GND-0V","","","","","","","Power"
"REF4","1","GND-0V","","","","","","","Power"
"REF61","1","GND-0V","","","","","","","Power"
"REF5","1","GND-0V","","","","","","","Power"
"REF56","1","GND-0V","","","","","","","Power"
"REF48","1","GND-0V","","","","","","","Power"
"REF6","1","GND-0V","","","","","","","Power"
"REF55","1","GND-0V","","","","","","","Power"
"REF49","1","GND-0V","","","","","","","Power"
"REF39","1","GND-0V","","","","","","","Power"
"REF7","1","GND-0V","","","","","","","Power"
"REF64","1","GND-0V","","","","","","","Power"
"REF54","1","GND-0V","","","","","","","Power"
"REF13","1","GND-0V","","","","","","","Power"
"REF8","1","GND-0V","","","","","","","Power"
"REF53","1","GND-0V","","","","","","","Power"
"REF28","1","GND-0V","","","","","","","Power"
"REF12","1","GND-0V","","","","","","","Power"
"REF52","1","GND-0V","","","","","","","Power"
"REF44","1","GND-0V","","","","","","","Power"
"REF11","1","GND-0V","","","","","","","Power"
"REF50","1","GND-0V","","","","","","","Power"
"REF47","1","GND-0V","","","","","","","Power"
"REF16","1","GND-0V","","","","","","","Power"
"REF24","1","GND-0V","","","","","","","Power"
"CONN202","1","HEADER-LCD","","OUPIIN","","","","","16-Pin Header with HD44780-Compatible Pin Assignments"
